bruto,clt,pj
22500,15199.575195000001,18836.075
22600,15266.075195000001,18917.141999999996
22700,15332.575195000001,18998.209
22800,15399.075195000001,19079.275999999998
22900,15465.575195000001,19160.343
23000,15532.075195000001,19241.41
23100,15598.575195000001,19322.477
23200,15665.075195000001,19403.543999999998
23300,15731.575195000001,19484.611
23400,15798.075195000001,19565.678
23500,15864.575195000001,19646.745
23600,15931.075195000001,19727.811999999998
23700,15997.575195000001,19808.879
23800,16064.075195000001,19889.946
23900,16130.575195000001,19971.013
24000,16197.075195000001,20052.079999999998
24100,16263.575195000001,20133.147
24200,16330.075195000001,20214.214
24300,16396.575195,20295.281000000003
24400,16463.075195,20376.347999999998
24500,16529.575195,20457.415
24600,16596.075195,20538.482
24700,16662.575195,20619.549000000003
24800,16729.075195,20700.615999999998
24900,16795.575195,20781.683
25000,16862.075195,20862.75
25100,16928.575195,20943.817
25200,16995.075195,21024.884
25300,17061.575195,21105.950999999997
25400,17128.075195,21187.018
25500,17194.575195,21268.085
25600,17261.075195,21349.152000000002
25700,17327.575195,21430.218999999997
25800,17394.075195,21511.286
25900,17460.575195,21592.353
26000,17527.075195,21673.420000000002
26100,17593.575195,21754.486999999997
26200,17660.075195,21835.554
26300,17726.575195,21916.621
26400,17793.075195,21997.688000000002
26500,17859.575195,22078.754999999997
26600,17926.075195,22159.822
26700,17992.575195,22240.889
26800,18059.075195,22321.956000000002
26900,18125.575195,22403.023
27000,18192.075195,22484.09
27100,18258.575195,22565.157
27200,18325.075195,22646.224000000002
27300,18391.575195,22727.291
27400,18458.075195,22808.358
27500,18524.575195,22889.425
27600,18591.075195,22970.492
27700,18657.575195,23051.559
27800,18724.075195,23132.625999999997
27900,18790.575195,23213.693
28000,18857.075195,23294.76
28100,18923.575195,23375.827
28200,18990.075195,23456.894
28300,19056.575195,23537.961
28400,19123.075195,23619.028
28500,19189.575195,23700.095
28600,19256.075195,23781.162
28700,19322.575195,23862.229
28800,19389.075195,23943.296
28900,19455.575195,24024.363
29000,19522.075195,24105.43
29100,19588.575195,24186.497
29200,19655.075195,24267.564
29300,19721.575195,24348.631
29400,19788.075195,24429.698
29500,19854.575195,24510.765000000003
29600,19921.075195,24591.832
29700,19987.575195,24672.899
29800,20054.075195,24753.966
29900,20120.575195,24835.033000000003
30000,20187.075195,24916.1
30100,20253.575195,24997.166999999998
30200,20320.075195,25078.234
30300,20386.575195,25159.301
30400,20453.075195,25240.368
30500,20519.575195,25321.434999999998
30600,20586.075195,25402.502
30700,20652.575194999998,25483.569
30800,20719.075194999998,25564.636
30900,20785.575194999998,25645.702999999998
31000,20852.075194999998,25726.77
31100,20918.575194999998,25807.837
31200,20985.075194999998,25888.904000000002
31300,21051.575194999998,25969.970999999998
31400,21118.075194999998,26051.038
31500,21184.575194999998,26132.105
31600,21251.075194999998,26213.172000000002
31700,21317.575194999998,26294.238999999998
31800,21384.075194999998,26375.306
31900,21450.575194999998,26456.373
32000,21517.075194999998,26537.440000000002
32100,21583.575194999998,26618.506999999998
32200,21650.075194999998,26699.574
32300,21716.575194999998,26780.641
32400,21783.075194999998,26861.708000000002
32500,21849.575194999998,26942.775
32600,21916.075194999998,27023.841999999997
32700,21982.575194999998,27104.909
32800,22049.075194999998,27185.976
32900,22115.575194999998,27267.043
33000,22182.075194999998,27348.109999999997
33100,22248.575194999998,27429.177
33200,22315.075194999998,27510.244
33300,22381.575194999998,27591.311
33400,22448.075194999998,27672.377999999997
33500,22514.575194999998,27753.445
33600,22581.075194999998,27834.512
33700,22647.575194999998,27915.579
33800,22714.075194999998,27996.646
33900,22780.575194999998,28077.713
34000,22847.075194999998,28158.78
34100,22913.575194999998,28239.847
34200,22980.075194999998,28320.913999999997
34300,23046.575194999998,28401.981
34400,23113.075194999998,28483.048
34500,23179.575194999998,28564.115
34600,23246.075194999998,28645.182
34700,23312.575194999998,28726.248999999996
34800,23379.075194999998,28807.316
34900,23445.575194999998,28888.382999999998
35000,23512.075194999998,28969.45
35100,23578.575194999998,29050.516999999996
35200,23645.075194999998,29131.584
35300,23711.575194999998,29212.650999999998
35400,23778.075194999998,29293.718
35500,23844.575194999998,29374.784999999996
35600,23911.075194999998,29455.852
35700,23977.575194999998,29536.918999999998
35800,24044.075194999998,29617.986
